,food_name,view_count,food_cate,rec_season,rec_weather,rec_time
0,어묵김말이,9592,4,0,2,0
1,현미호두죽,2912,8,0,3,0
2,북어갈비,6865,5,0,2,0
3,토마토스파게티,12754,6,0,0,0
4,표고버섯탕수,16053,5,0,0,0
5,갈릭치킨,8148,5,0,1,0
6,양파링튀김,17660,4,0,2,0
7,참치삼각김밥,48896,8,0,2,0
8,뚝배기해물떡볶이,15714,8,0,1,0
9,스팸샌드위치,29293,9,0,0,0
10,참치깻잎주먹밥,30913,8,0,3,0
11,새우볶음밥고로케,27167,9,0,2,0
12,스팸쌈밥,17889,8,0,0,0
13,베이컨김치말이밥,66460,8,0,0,0
14,스팸오이식빵롤,36994,9,0,1,0
15,고구마치즈스틱,16188,4,0,2,0
16,오징어볶음우동,25124,6,0,2,0
17,호두가래떡구이,8513,4,0,1,0
18,카레새우삼각김밥,11266,8,0,0,0
19,블루베리쨈,13783,12,0,3,0
20,미니새우버거,6428,9,0,2,0
21,고구마그라탕,7297,13,0,0,0
22,밤식빵,6664,9,0,0,0
23,고구마보트,4039,4,0,1,0
24,감자스프,9662,11,0,2,0
25,뚝배기라면,36944,6,0,2,0
26,포테이토스킨,7546,4,0,1,0
27,오코노미야키,17312,5,0,0,0
28,야끼만두,23831,6,0,3,0
29,두부조림,17057,7,0,2,0
30,매운갈비찜,9561,5,0,0,0
31,어묵볶음,18559,7,0,0,0
32,칠리새우볶음,12254,7,0,2,0
33,꼬마김밥,26484,8,0,2,0
34,홍시아이스크림,4345,4,0,1,0
35,에그스팸샌드위치,8461,9,0,0,0
36,단호박사블레,1807,0,0,3,0
37,뮈슬리초코칩쿠키,2879,0,0,2,0
38,쌀빵,2835,9,0,0,0
39,아몬드타르트,3597,0,0,0,0
40,팥파운드케이크,2055,9,0,1,0
41,홍시요거트,2971,15,0,2,0
42,닭꼬지,6312,4,0,2,0
43,팥양갱,15633,0,0,1,0
44,파네토네,8632,9,0,0,0
45,소고기크림치즈오븐스파게티,7853,6,0,3,0
46,브라우니,4026,9,0,2,0
47,브라우니치즈케이크,2758,9,0,0,0
48,돼지고기김치찌개,24435,14,0,1,0
49,로스트치킨,5170,5,0,2,0
50,브라우니,5721,9,0,2,0
51,오트밀쿠키,4194,0,0,1,0
52,밤머핀,2008,9,0,0,0
53,크랜베리브리오슈,7594,9,0,3,0
54,찜닭,15585,5,0,2,0
55,바나나프렌치토스트,23657,9,0,0,0
56,베이컨그라탕,4839,13,0,0,0
57,단호박해물치즈구이,16814,4,0,1,0
58,파스타,14078,6,0,2,0
59,갸토쇼콜라,1891,9,0,2,0
60,몽블랑,4135,9,0,1,0
61,바질페스토,64019,12,0,3,0
62,포카치아,2904,9,0,2,0
63,흑미와플,1802,9,0,0,0
64,쏘야볶음,18595,5,0,0,0
65,메론빵,4594,9,0,1,0
66,튜나에그샌드위치,19088,9,0,2,0
67,푸딩,82794,4,0,2,0
68,오븐웨지감자,53082,4,0,1,0
69,쿠키,2441,0,0,0,0
70,대추스콘,3304,9,0,3,0
71,짜장떡볶이,26187,8,0,2,0
72,바나나찹쌀떡,6997,8,0,0,0
73,카레어묵전골,5743,1,0,1,0
74,모카머핀,6992,9,0,2,0
75,버섯포카치아,2680,9,0,2,0
76,어묵,11106,5,0,1,0
77,크림소스,4020,12,0,0,0
78,파니니,2699,9,0,3,0
79,파니니,7421,9,0,2,0
80,시나몬비스코티,1667,0,0,0,0
81,버터케이크,4291,9,0,0,0
82,리코타치즈,26042,12,0,1,0
83,레몬생크림케이크,2836,9,0,2,0
84,초콜릿케이크,5803,9,0,1,0
85,통밀쿠키,6596,0,0,0,0
86,시나몬큐브,2343,9,0,3,0
87,초코바나나머핀,2981,9,0,2,0
88,애호박사워크림케이크,1942,9,0,0,0
89,브라우니,4319,9,0,0,0
90,초코뮈슬리쿠키,2344,0,0,1,0
91,닭강정,9237,5,0,2,0
92,피낭시에,2665,9,0,2,0
93,소세지크로와상,3924,9,0,1,0
94,뮈슬리바,2697,4,0,0,0
95,그린티현미쉬폰,1500,9,0,3,0
96,카레,2074,12,0,2,0
97,불닭퀘사디아,4739,9,0,0,0
98,계란빵,15252,9,0,0,0
99,검은깨샤브레,1770,0,0,2,0
100,얼큰수제비,17779,6,0,2,0
101,오트밀빵,3423,9,0,1,0
102,시나몬롤,2416,9,0,0,0
103,조기매운탕,17166,1,0,3,0
104,오이무침,42841,7,0,2,0
105,식빵꽃,2894,9,0,0,0
106,쇼콜라케이크,4316,9,0,0,0
107,전자렌지딸기찹쌀떡,9937,8,0,1,0
108,닭고기샌드위치,4445,9,0,2,0
109,깻잎떡볶이,6338,8,0,2,0
110,연어또띠아말이,7355,4,0,1,0
111,김치볶음밥,17315,8,0,0,0
112,바나나머핀,2542,9,0,3,0
113,탕수만두,11650,6,0,2,0
114,굴무밥,9593,8,0,0,0
115,볶음밥,2425,8,0,0,0
116,모밀국수,14343,6,0,1,0
117,토마토카프레제샐러드,64059,10,0,2,0
118,오징어청양고추조림,7554,7,0,2,0
119,코다리조림,287709,5,0,1,0
120,카야쨈호떡,6270,9,0,0,0
121,초콜렛치즈머핀,2463,9,0,3,0
122,샐러드오므라이스,2285,8,0,2,0
123,어묵볶음,24211,7,0,0,0
124,두부치즈케익,9297,9,0,0,0
125,메밀전병,25848,6,0,1,0
126,깻잎순조림,28926,7,0,2,0
127,라볶이,93472,8,0,2,0
128,쇼콜라,1338,9,0,1,0
129,마파두부덮밥,14924,8,0,0,0
130,깡장,20191,12,0,3,0
131,밤조림,8301,7,0,2,0
132,티라미수컵케익,7767,9,0,0,0
133,닭발,89321,5,0,0,0
134,크로켓,5054,9,0,1,0
135,초코칩케이크,2269,9,0,2,0
136,복숭아찹쌀떡,12656,8,0,2,0
137,굴무밥,5378,8,0,0,0
138,미역국,32675,1,0,3,0
139,느타리버섯전,28814,5,0,2,0
140,마로니에,4223,0,0,0,0
141,멀티그레인곡물빵,6465,9,0,0,0
142,약밥,7362,8,0,1,0
143,초코파운드케이크,3570,9,0,2,0
144,하트마카롱쿠키,9734,0,0,2,0
145,컵케익,6421,9,0,1,0
146,밥샌드위치,25022,8,0,0,0
147,견과류초콜릿,4033,0,0,3,0
148,와플,5570,9,0,2,0
149,들깨무국,33803,1,0,0,0
150,연근전,13856,7,0,0,0
151,참치김치전,33259,5,0,1,0
152,홈런볼,11662,9,0,2,0
153,해물볶음라면,9873,6,0,2,0
154,월병,10506,0,0,1,0
155,찹쌀경단,23710,4,0,0,0
156,냉이순두부찌개,5211,14,0,3,0
157,잡채,18947,5,0,2,0
158,생크림케이크,4295,9,0,0,0
159,까망베르치즈케이크,8907,9,0,0,0
160,시래기들깨탕,16483,1,0,1,0
161,모카쿠키,3522,0,0,2,0
162,크림치즈딸기카나페,26437,4,0,2,0
163,오징어볶음,13124,5,0,1,0
164,동태전,7093,7,0,0,0
165,꽁치김치찌개,20483,14,0,3,0
166,연근전,17270,7,0,2,0
167,모카쿠키,3871,0,0,0,0
168,초코쉬폰케이크,7119,9,0,0,0
169,케이크,1186,9,0,1,0
170,갈치조림,16061,5,0,2,0
171,밤파운드케이크,2088,9,0,2,0
172,초콜렛,4135,4,0,1,0
173,유부초밥,14847,8,0,0,0
174,코다리양념구이,24015,5,0,3,0
175,쿠키,2525,0,0,2,0
176,고구마크림치즈구이,8295,4,0,0,0
177,초코슈,3014,9,0,1,0
178,부추된장국,17800,1,0,2,0
179,초코칩쿠키,2125,0,0,2,0
180,깐풍코다리,3508,5,0,1,0
181,묵은지감자탕,19037,1,0,0,0
182,아몬드초콜렛,5353,4,0,3,0
183,딸기케이크,7327,9,0,2,0
184,부추제육볶음,11915,5,0,0,0
185,하트쿠키,1711,0,0,1,0
186,모카초코칩머핀,3167,9,0,2,0
187,무화과컵케이크,1405,9,0,2,0
188,김치오믈렛,8705,13,0,1,0
189,꽃게매운탕,9094,1,0,0,0
190,시나몬메이플쿠키,3858,0,0,3,0
191,새우버거,9709,9,0,2,0
192,충무김밥,9524,8,0,0,0
193,단호박찜케익,7950,9,0,0,0
194,연어간장조림,9669,5,0,1,0
195,햄크림파스타,5218,6,0,2,0
196,로쉐,2001,4,0,2,0
197,찐빵,21608,9,0,1,0
198,느타리버섯구이,29118,7,0,0,0
199,딸기가나슈케이크,5886,9,0,3,0
200,베이컨,8539,5,0,2,0
201,쌈밥,28593,8,0,0,0
202,순두부찌개,26757,14,0,1,0
203,식혜,52837,15,0,2,0
204,고구마야채튀김,9694,4,0,2,0
205,부대찌개,17812,14,0,2,0
206,식빵,9276,9,0,2,0
207,카스테라,10879,9,0,2,0
208,닭개장,50732,1,0,2,0
209,초코바,3542,4,0,2,0
210,떡볶이,8416,8,0,2,0
211,퍼지브라우니,29932,9,0,2,0
212,마늘바게트,5556,0,0,2,0
213,모카빵,7132,9,0,2,0
214,삼색상투과자,5939,0,0,2,0
215,캬라멜크림,3844,12,0,2,0
216,옥수수식빵,2928,9,0,2,0
217,망고레어치즈케이크,7122,9,0,2,0
218,식빵,2383,9,0,2,0
219,양념꼬막,22544,7,0,2,0
220,치킨까스카레덮밥,5851,8,0,2,0
221,케이크,2197,9,0,2,0
222,요거트스콘,7870,9,0,2,0
223,야채피클,12176,7,0,2,0
224,홍합탕,7128,1,0,2,0
225,오렌지탕수육,5321,5,0,2,0
226,와플,5241,9,0,2,0
227,떡갈비,20952,5,0,2,0
228,달래김무침,7439,7,0,2,0
229,키위바나나잼,3937,12,0,2,0
230,멸치무침,19479,7,0,2,0
231,달걀찜,19517,7,0,2,0
232,꽃게된장찌개,57214,14,0,2,0
233,오렌지닭봉구이,4091,5,0,2,0
234,햄야채키슈,3456,9,0,2,0
235,견과류파운드케익,3549,9,0,2,0
236,쿠키,3729,0,0,2,0
237,파운드케이크,1988,9,0,2,0
238,돼지고기야채볶음,12992,5,0,2,0
239,쌀가루치즈케이크,1663,9,0,2,0
240,연어계란샐러드,4814,10,0,2,0
241,해물김치볶음밥,14554,8,0,2,0
242,닭가슴살두부강정,9744,4,0,2,0
243,대구탕,9924,1,0,2,0
244,도토리묵전,18254,7,0,2,0
245,두부또띠아피자,18138,9,0,2,0
