food_name,view_count,food_cate,rec_season,rec_weather,rec_time
어묵김말이,9592,디저트,봄,비,아침
현미호두죽,2912,밥/죽/떡,봄,눈,아침
북어갈비,6865,메인반찬,봄,비,아침
토마토스파게티,12754,면/만두,봄,맑음,아침
표고버섯탕수,16053,메인반찬,봄,맑음,아침
갈릭치킨,8148,메인반찬,봄,흐림,아침
양파링튀김,17660,디저트,봄,비,아침
참치삼각김밥,48896,밥/죽/떡,봄,비,아침
뚝배기해물떡볶이,15714,밥/죽/떡,봄,흐림,점심
스팸샌드위치,29293,빵,봄,맑음,아침
참치깻잎주먹밥,30913,밥/죽/떡,봄,눈,아침
새우볶음밥고로케,27167,빵,봄,비,아침
스팸쌈밥,17889,밥/죽/떡,봄,맑음,아침
베이컨김치말이밥,66460,밥/죽/떡,봄,맑음,아침
스팸오이식빵롤,36994,빵,봄,흐림,아침
고구마치즈스틱,16188,디저트,봄,비,아침
오징어볶음우동,25124,면/만두,봄,비,점심
호두가래떡구이,8513,디저트,봄,흐림,점심
카레새우삼각김밥,11266,밥/죽/떡,봄,맑음,점심
블루베리쨈,13783,양념/소스/잼,봄,눈,점심
미니새우버거,6428,빵,봄,비,점심
고구마그라탕,7297,양식,봄,맑음,점심
밤식빵,6664,빵,봄,맑음,점심
고구마보트,4039,디저트,봄,흐림,아침
감자스프,9662,스프,봄,비,점심
뚝배기라면,36944,면/만두,봄,비,점심
포테이토스킨,7546,디저트,봄,흐림,점심
오코노미야키,17312,메인반찬,봄,맑음,점심
야끼만두,23831,면/만두,봄,눈,점심
두부조림,17057,밑반찬,봄,비,점심
매운갈비찜,9561,메인반찬,봄,맑음,점심
어묵볶음,18559,밑반찬,봄,맑음,점심
칠리새우볶음,12254,밑반찬,봄,비,점심
꼬마김밥,26484,밥/죽/떡,봄,비,점심
홍시아이스크림,4345,디저트,봄,흐림,점심
에그스팸샌드위치,8461,빵,봄,맑음,점심
단호박사블레,1807,과자,봄,눈,점심
뮈슬리초코칩쿠키,2879,과자,봄,비,점심
쌀빵,2835,빵,봄,맑음,점심
아몬드타르트,3597,과자,봄,맑음,점심
팥파운드케이크,2055,빵,봄,흐림,점심
홍시요거트,2971,차/음료/술,봄,비,점심
닭꼬지,6312,디저트,봄,비,아침
팥양갱,15633,과자,봄,흐림,점심
파네토네,8632,빵,봄,맑음,점심
소고기크림치즈오븐스파게티,7853,면/만두,봄,눈,점심
브라우니,4026,빵,봄,비,점심
브라우니치즈케이크,2758,빵,봄,맑음,점심
돼지고기김치찌개,24435,찌개,봄,흐림,점심
로스트치킨,5170,메인반찬,봄,비,점심
브라우니,5721,빵,봄,비,점심
오트밀쿠키,4194,과자,봄,흐림,아침
밤머핀,2008,빵,봄,맑음,점심
크랜베리브리오슈,7594,빵,봄,눈,점심
찜닭,15585,메인반찬,봄,비,점심
바나나프렌치토스트,23657,빵,봄,맑음,점심
베이컨그라탕,4839,양식,봄,맑음,점심
단호박해물치즈구이,16814,디저트,봄,흐림,점심
파스타,14078,면/만두,봄,비,점심
갸토쇼콜라,1891,빵,봄,비,점심
몽블랑,4135,빵,봄,흐림,점심
바질페스토,64019,양념/소스/잼,봄,눈,점심
포카치아,2904,빵,봄,비,아침
흑미와플,1802,빵,봄,맑음,점심
쏘야볶음,18595,메인반찬,봄,맑음,점심
메론빵,4594,빵,봄,흐림,점심
튜나에그샌드위치,19088,빵,봄,비,점심
푸딩,82794,디저트,봄,비,점심
오븐웨지감자,53082,디저트,봄,흐림,점심
쿠키,2441,과자,봄,맑음,점심
대추스콘,3304,빵,봄,눈,아침
짜장떡볶이,26187,밥/죽/떡,봄,비,점심
바나나찹쌀떡,6997,밥/죽/떡,봄,맑음,점심
카레어묵전골,5743,국/탕,봄,흐림,점심
모카머핀,6992,빵,봄,비,점심
버섯포카치아,2680,빵,봄,비,점심
어묵,11106,메인반찬,봄,흐림,점심
크림소스,4020,양념/소스/잼,봄,맑음,점심
파니니,2699,빵,봄,눈,점심
파니니,7421,빵,봄,비,점심
시나몬비스코티,1667,과자,봄,맑음,점심
버터케이크,4291,빵,봄,맑음,점심
리코타치즈,26042,양념/소스/잼,봄,흐림,아침
레몬생크림케이크,2836,빵,봄,비,아침
초콜릿케이크,5803,빵,봄,흐림,아침
통밀쿠키,6596,과자,봄,맑음,아침
시나몬큐브,2343,빵,봄,눈,아침
초코바나나머핀,2981,빵,봄,비,아침
애호박사워크림케이크,1942,빵,봄,맑음,아침
브라우니,4319,빵,봄,맑음,아침
초코뮈슬리쿠키,2344,과자,봄,흐림,아침
닭강정,9237,메인반찬,봄,비,아침
피낭시에,2665,빵,봄,비,아침
소세지크로와상,3924,빵,봄,흐림,아침
뮈슬리바,2697,디저트,봄,맑음,아침
그린티현미쉬폰,1500,빵,봄,눈,점심
카레,2074,양념/소스/잼,봄,비,점심
불닭퀘사디아,4739,빵,봄,맑음,점심
계란빵,15252,빵,봄,맑음,점심
검은깨샤브레,1770,과자,봄,비,점심
얼큰수제비,17779,면/만두,봄,비,점심
오트밀빵,3423,빵,봄,흐림,점심
시나몬롤,2416,빵,봄,맑음,점심
조기매운탕,17166,국/탕,봄,눈,점심
오이무침,42841,밑반찬,봄,비,점심
식빵꽃,2894,빵,여름,맑음,아침
쇼콜라케이크,4316,빵,여름,맑음,아침
전자렌지딸기찹쌀떡,9937,밥/죽/떡,여름,흐림,아침
닭고기샌드위치,4445,빵,여름,비,아침
깻잎떡볶이,6338,밥/죽/떡,여름,비,아침
연어또띠아말이,7355,디저트,여름,흐림,아침
김치볶음밥,17315,밥/죽/떡,여름,맑음,아침
바나나머핀,2542,빵,여름,눈,아침
탕수만두,11650,면/만두,여름,비,아침
굴무밥,9593,밥/죽/떡,여름,맑음,아침
볶음밥,2425,밥/죽/떡,여름,맑음,아침
모밀국수,14343,면/만두,여름,흐림,아침
토마토카프레제샐러드,64059,샐러드,여름,비,아침
오징어청양고추조림,7554,밑반찬,여름,비,아침
코다리조림,287709,메인반찬,여름,흐림,아침
카야쨈호떡,6270,빵,봄,맑음,아침
초콜렛치즈머핀,2463,빵,여름,눈,아침
샐러드오므라이스,2285,밥/죽/떡,여름,비,아침
어묵볶음,24211,밑반찬,여름,맑음,아침
두부치즈케익,9297,빵,여름,맑음,아침
메밀전병,25848,면/만두,여름,흐림,아침
깻잎순조림,28926,밑반찬,여름,비,아침
라볶이,93472,밥/죽/떡,여름,비,아침
쇼콜라,1338,빵,여름,흐림,아침
마파두부덮밥,14924,밥/죽/떡,여름,맑음,아침
깡장,20191,양념/소스/잼,여름,눈,아침
밤조림,8301,밑반찬,여름,비,아침
티라미수컵케익,7767,빵,여름,맑음,아침
닭발,89321,메인반찬,봄,맑음,아침
크로켓,5054,빵,여름,흐림,아침
초코칩케이크,2269,빵,여름,비,아침
복숭아찹쌀떡,12656,밥/죽/떡,여름,비,아침
굴무밥,5378,밥/죽/떡,여름,맑음,아침
미역국,32675,국/탕,여름,눈,아침
느타리버섯전,28814,메인반찬,여름,비,아침
마로니에,4223,과자,여름,맑음,아침
멀티그레인곡물빵,6465,빵,여름,맑음,저녁
약밥,7362,밥/죽/떡,여름,흐림,저녁
초코파운드케이크,3570,빵,봄,비,저녁
