,menuKind,menuName
0,밥,반숙명란덮밥
1,밥,마늘쫑장아찌 볶음밥
2,밥,맛살볶음밥
3,밥,앵그리볶음밥
4,밥,참치마요 볶음밥
5,밥,새우볶음밥
6,밥,콜리플라워 볶음밥 & 아보카도 샐러드
7,밥,단호박 볶음밥
8,밥,크림볶음밥
9,밥,백김치볶음밥
10,밥,물만두 콩나물국밥
11,밥,삼겹살 장아찌김밥
12,밥,채소김밥
13,밥,묵은지말이 참치김밥
14,밥,햄버거 김밥
15,밥,지단 김밥
16,밥,돈가스 김밥 샌드위치
17,밥,만두김밥
18,밥,묵은지 참치김밥
19,밥,기본김밥
20,밥,대왕연어김밥
21,밥,충무김밥과 오징어무침
22,밥,베이컨달걀주먹밥
23,밥,구운달걀 카레덮밥
24,밥,채소 솥밥
25,밥,모둠버섯솥밥
26,밥,단호박닭고기솥밥
27,밥,삼치솥밥
28,밥,김솥밥
29,밥,가지밥
30,밥,토마토밥 & 토마토 약고추장
31,밥,소고기 오이볶음밥
32,밥,깍두기볶음밥
33,밥,장어덮밥
34,밥,강된장비빔밥
35,밥,쌈장덮밥
36,밥,불고기 당면덮밥
37,밥,카르보나라 덮밥
38,밥,떡볶이 덮밥
39,밥,새우덮밥
40,밥,물김치 묵밥
41,밥,소보로 열무밥
42,밥,청양고추멸치볶음 주먹밥
43,밥,포두부 롤밥
44,밥,양배추 둥지밥
45,밥,가지연두부덮밥
46,밥,베이컨잡채덮밥
47,밥,토마토치즈제육덮밥
48,밥,치킨양파덮밥
49,밥,날치알 비빔밥
50,밥,가지덮밥
51,밥,갈비찜 치즈덮밥
52,밥,달걀덮밥
53,밥,소고기 양파덮밥
54,밥,족발덮밥
55,밥,탑스테이크 덮밥
56,밥,통오징어 라조덮밥
57,밥,폭탄주먹밥
58,밥,치즈 불닭볶음밥
59,밥,마늘종볶음밥
60,밥,참깨 닭가슴살 오이덮밥
61,밥,닭봉카레덮밥
62,밥,김치 콩나물밥
63,밥,어묵버터밥
64,밥,땡초굴소스볶음밥
