,seasonName,seasonStartMonth,seasonMidleMonth,seasonEndMonth,menuName
0,봄,3,4,5,달래간장버터밥
1,봄,3,4,5,크림소스 달래뇨끼
2,봄,3,4,5,달래된장찌개
3,봄,3,4,5,달래 무생채
4,봄,3,4,5,달래 돼지고기 생강구이
5,봄,3,4,5,배추달래겉절이
6,봄,3,4,5,콩가루냉이장국
7,봄,3,4,5,냉이된장국
8,봄,3,4,5,냉이 버섯전골
9,봄,3,4,5,냉이강된장
10,봄,3,4,5,냉이떡갈비
11,여름,6,7,8,토마토밥 & 토마토 약고추장
12,여름,6,7,8,토마토치즈제육덮밥
13,여름,6,7,8,토마토소스 해물리소토
14,여름,6,7,8,오이토마토냉국
15,여름,6,7,8,토마토누룽지수프
16,여름,6,7,8,토마토 제육볶음
17,여름,6,7,8,콩고기 토마토떡볶이
18,여름,6,7,8,토마토버섯볶음
19,여름,6,7,8,토마토찜닭
20,여름,6,7,8,토마토 조개수프
21,여름,6,7,8,참외냉국
22,여름,6,7,8,참외 피클
23,가을,9,10,11,대하 연두붓국
24,가을,9,10,11,양념 대하장
25,가을,9,10,11,멸치대하볶음 & 엔다이브 쌈 with 청주
26,가을,9,10,11,대하꼬치
27,가을,9,10,11,대하날치알 치즈구이
28,가을,9,10,11,호두 은행조림
29,겨울,12,1,2,양배추 둥지밥
30,겨울,12,1,2,얼갈이배추국밥
31,겨울,12,1,2,양배추된장무른밥
32,겨울,12,1,2,배추된장국
33,겨울,12,1,2,양배추치즈전골
34,겨울,12,1,2,두부배추전골
35,겨울,12,1,2,쇠고기완자 배추전골
36,겨울,12,1,2,배추생채
37,겨울,12,1,2,알배추 겉절이
38,겨울,12,1,2,참치 쌈장과 양배추쌈
39,겨울,12,1,2,양배추 달걀전
40,겨울,12,1,2,방울양배추 소고기조림
41,겨울,12,1,2,배추달래겉절이
42,겨울,12,1,2,배추된장무침
43,겨울,12,1,2,양배추볶음
44,겨울,12,1,2,양배추피클
45,겨울,12,1,2,양배추 우삼겹 숙주볶음
46,겨울,12,1,2,양배추닭가슴살구이
47,겨울,12,1,2,훈제오리구이 배추샐러드
48,겨울,12,1,2,차돌박이 알배추찜
49,겨울,12,1,2,삼치솥밥
50,겨울,12,1,2,삼치양념찜
51,겨울,12,1,2,삼치간장조림
52,겨울,12,1,2,시래기삼치조림
53,겨울,12,1,2,카레삼치구이
54,겨울,12,1,2,삼치마요구이
