,lowestTemp,highestTemp,menuName
0,,0,게살치즈죽
1,,0,게살샐러드 유부초밥
2,,0,꽃게죽
3,,0,맑은 꽃게탕
4,,0,꽃게어묵탕
5,,0,꽃게된장국
6,,0,단호박꽃게탕
7,,0,멍게젓
8,,0,꽃게무침
9,,0,콩나물 꽃게찜
10,1,5,홍합뭇국
11,1,5,얼큰홍합탕
12,1,5,홍합미역국
13,1,5,미역홍합부침개
14,1,5,홍합초
15,1,5,얼큰 꼬막탕
16,1,5,꼬막장
17,1,5,시금치페스토 꼬막찜
18,5,10,시금치딸기샐러드
19,5,10,땡초굴소스볶음밥
20,5,10,영양 굴국밥
21,5,10,부추굴국밥
22,5,10,굴짬뽕만둣국
23,5,10,굴전골
24,5,10,어리굴젓
25,5,10,찐콩나물굴무침
26,5,10,굴소스대파돼지고기
27,5,10,굴 콩나물찜
28,5,10,굴무침
29,10,15,다슬기부추된장국
30,10,15,옥수수김밥
31,10,15,옥수수밥
32,10,15,옥수수알감자조림
33,10,15,옥수수애호박달걀말이
34,15,20,복숭아 냉국
35,15,20,뼈 없는 시래기감자탕
36,15,20,감자버섯수제비
37,15,20,감자탕
38,15,20,옥수수알감자조림
39,15,20,감자무침
40,15,20,감자채볶음 & 대왕 달걀말이
41,15,20,매운 감자볶음
42,15,20,감자멸치볶음
43,15,20,매콤감자조림
44,15,20,감자볶음
45,15,20,쇠고기감자조림
46,15,20,감자떡볶이
47,15,20,층층감자삼겹
48,15,20,통감자치즈구이
49,15,20,베이컨감자찜
50,15,20,감자간장조림
51,15,20,층층감자삼겹
52,15,20,감자전
53,15,20,미나리감자 뢰스티
54,20,25,고구마밥
55,20,25,고구마 닭볶음탕
56,20,25,고구마채전
57,20,25,갈치고구마조림
58,20,25,고구마샐러드
59,20,25,고구마생채
60,20,25,고구마줄기볶음
61,20,25,고구마순무침
62,20,25,고구마무스 닭가슴살볶음
63,20,25,고구마순 고등어조림
64,20,25,어묵고구마조림
65,25,30,장어덮밥
66,25,30,장어 영양솥밥
67,25,30,장어전골
68,25,30,장어 달걀말이
69,25,30,장어탕수육
70,25,30,장어구이
71,30,,시래기전복솥밥
72,30,,전복채소무른밥
73,30,,아스파라거스 전복볶음밥
74,30,,전복삼계탕
75,30,,전복 양장피
76,30,,전복장
77,30,,전복버터구이
78,30,,전복 양장피
